"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000082413",0,0,0,0,0,0
"ENSMUSG00000082414",0,0,0,0.5,0,0
"ENSMUSG00000082415",0,0,0,0,0,0
"ENSMUSG00000082416",0,0,0,0,0,0
"ENSMUSG00000082417",0,0.63,0,0,0,1.01
"ENSMUSG00000082418",0,0,0,0,0,0
"ENSMUSG00000082419",5.8,4.78,3.75,26.54,41.3,32.58
"ENSMUSG00000082420",3,3,3,5,3,4
"ENSMUSG00000082421",0,0,0,0,0,0
"ENSMUSG00000082422",0,0,0,0,0,0
"ENSMUSG00000082423",0,0,0,0,0,0
"ENSMUSG00000082424",3.3,8.2,7.72,8.61,5.03,3.08
"ENSMUSG00000082426",0,0,0,0,0,0
"ENSMUSG00000082427",0,0,0,0,0,0
"ENSMUSG00000082428",0,0,0,0,0,0
"ENSMUSG00000082429",0,0,0,0,0,0
"ENSMUSG00000082431",1.01,0,0,0,0,0
"ENSMUSG00000082432",0,0,0,0,0,0
"ENSMUSG00000082433",1.08,0.72,0,1.09,2.16,0.01
"ENSMUSG00000082435",0,0,0,0,0,0
"ENSMUSG00000082436",1,1,0,1,1,1
"ENSMUSG00000082437",0,0,0,0,0,0
"ENSMUSG00000082440",0,0,0,0,0,0
"ENSMUSG00000082442",0,0,0,0,0,0
"ENSMUSG00000082443",0,0,0,0,0,0
"ENSMUSG00000082444",0,0,0,0,0,0
"ENSMUSG00000082446",0,0,0,1,0,0
"ENSMUSG00000082447",0,0,0,0,0,0
"ENSMUSG00000082448",0,0,0,0,0,0
"ENSMUSG00000082449",0,0,0,0,0,0
"ENSMUSG00000082450",0,0,0,0,0,0
"ENSMUSG00000082451",0,0,0,0,0,0
"ENSMUSG00000082453",0,0,0,0,0,0
"ENSMUSG00000082454",4.41,2.61,0,2.73,4.68,3.82
"ENSMUSG00000082455",0,0,0,1,0,0
"ENSMUSG00000082456",0,0,0,0,0,1
"ENSMUSG00000082457",0,0,0,0,3,2
"ENSMUSG00000082458",0,0,0,0,0,0
"ENSMUSG00000082459",0,0,0,0,0,0
"ENSMUSG00000082460",0,0,0,0,0,0
"ENSMUSG00000082461",0,0,0,0,8.2,0
"ENSMUSG00000082462",0,0,0,0,0,0
"ENSMUSG00000082463",0,0,0,1,0,0
"ENSMUSG00000082464",0,0,0,0,0,0
"ENSMUSG00000082465",0,0,1.54,5,5.27,2.46
"ENSMUSG00000082467",0,0,0,1,0,0
"ENSMUSG00000082468",0,0,0,0,0,0
"ENSMUSG00000082472",0,0,0,0,0,0
"ENSMUSG00000082473",0,0,0,0,0,0
"ENSMUSG00000082474",2.01,4.97,4.02,1.04,3.02,1.01
"ENSMUSG00000082475",0,0,2.85,1.56,0,0
"ENSMUSG00000082476",6,8,18,10,2,11
"ENSMUSG00000082478",0,0,0,0,0,0
"ENSMUSG00000082479",0,0,0,0,0,0
"ENSMUSG00000082480",2.19,6.55,2.21,0,4.3,3.47
"ENSMUSG00000082481",1.22,2,1.26,0,0,1.02
"ENSMUSG00000082482",0,0,0,0,0,0
"ENSMUSG00000082483",0,0,0,0,0,0
"ENSMUSG00000082484",5,3.11,1.99,5.93,3.04,0
"ENSMUSG00000082485",0,0,0,0,0,0
"ENSMUSG00000082486",0,0,0,0,0,0
"ENSMUSG00000082487",0,0,0,0,0,0
"ENSMUSG00000082489",0,1,0,0,0,0
"ENSMUSG00000082490",0,0,0,0,0,0
"ENSMUSG00000082491",0,0,0,0.27,0,0
"ENSMUSG00000082492",0,0,0,0,0,0
"ENSMUSG00000082494",0,0,0,0,0,0
"ENSMUSG00000082495",0,1,0,0,0,1
"ENSMUSG00000082496",0,0,0,0,0,0
"ENSMUSG00000082497",0,0,0,0,0,0
"ENSMUSG00000082498",0,0,0,0,0,0
"ENSMUSG00000082499",0,0,0,0,0,0
"ENSMUSG00000082500",0,0,0,0,0,0
"ENSMUSG00000082501",0,0,0,0,0,0
"ENSMUSG00000082502",0,0,0,0,0,0
"ENSMUSG00000082503",0,0,0.4,0.99,0,1
"ENSMUSG00000082504",0,0,0,0,0,0
"ENSMUSG00000082505",0,0,0,0,0,0
"ENSMUSG00000082507",0,0,1,3,1,2
"ENSMUSG00000082508",0,0,0,0,0,0
"ENSMUSG00000082510",0,0,0,0,0,1.01
"ENSMUSG00000082511",0,0,0,0,0,0
"ENSMUSG00000082512",0,0,0,0,0,0
"ENSMUSG00000082513",0,0,0,0,0,0
"ENSMUSG00000082514",0,0,0,0,0,0
"ENSMUSG00000082515",2,3,2,1,0,3
"ENSMUSG00000082516",0,0,0,0,0,0
"ENSMUSG00000082517",0,0,0,0,0,0
"ENSMUSG00000082519",0,0,0,0,0,1
"ENSMUSG00000082520",0,0,0,1,1,0
"ENSMUSG00000082523",0,0,0,0,0,0
"ENSMUSG00000082524",0,0,0,0,0,0
"ENSMUSG00000082526",0,0,0,0,0,0
"ENSMUSG00000082527",0,0,0,0,0,0
"ENSMUSG00000082528",0,0,0,0,0,0
"ENSMUSG00000082529",0,0,0,1,1,2
"ENSMUSG00000082530",0,0,1.06,0,0,0
"ENSMUSG00000082531",0,0,0,0,0,0
"ENSMUSG00000082532",0,1,0,0,1,1
"ENSMUSG00000082533",0,0,0,0,0,0
"ENSMUSG00000082534",0,0,0,0,0,0
"ENSMUSG00000082535",18.99,14.31,17.8,47.06,54.94,46.97
"ENSMUSG00000082536",25.28,40.98,36.79,25.8,23.39,21.94
"ENSMUSG00000082537",0,0,0,0,0,0
"ENSMUSG00000082538",0,0,0,0,0,0
"ENSMUSG00000082539",0,0,0,0,0,0
"ENSMUSG00000082540",0,0,0,0,0,0
"ENSMUSG00000082541",0,0,0,0,0,0
"ENSMUSG00000082542",0,0,0,0,0,0
"ENSMUSG00000082543",1,1,1,1.97,0,1
"ENSMUSG00000082544",0,0,0,0,0,0
"ENSMUSG00000082545",0,0,0,0,0,0
"ENSMUSG00000082546",0,0,0,0,0,0
"ENSMUSG00000082547",0,0,0,0,0,0
"ENSMUSG00000082548",0,0,0,0,0,0
"ENSMUSG00000082549",0,0,0,0,0,0
"ENSMUSG00000082550",0,0,0,0,0,0
"ENSMUSG00000082551",0,0,0,0,0,0
"ENSMUSG00000082552",0,0,0,0,0,0
"ENSMUSG00000082553",0,0,0,0,0,0
"ENSMUSG00000082554",0,0,0,0,0,0
"ENSMUSG00000082555",0,0,0,0,0,0
"ENSMUSG00000082556",0,0,0,0,0,0
"ENSMUSG00000082558",0,0,0,0,0,0
"ENSMUSG00000082560",0,0,0,0,0,1
"ENSMUSG00000082561",0,0,0,0,1,0
"ENSMUSG00000082562",0,0,0,0,1,1
"ENSMUSG00000082563",0,0,0,0,0,0
"ENSMUSG00000082564",0,0,0,0,0,0
"ENSMUSG00000082565",0,0,0,0,0,0
"ENSMUSG00000082566",0,0,0,0,0,0
"ENSMUSG00000082567",0,0,0,0,0,0
"ENSMUSG00000082569",3,3,4,1,2,0
"ENSMUSG00000082570",0,1,0,0,0,0
"ENSMUSG00000082571",0,0,0,0,0,0
"ENSMUSG00000082573",0,0,0,0,0,0
"ENSMUSG00000082574",0,0,0,0,0,0
"ENSMUSG00000082575",5,8,3,5,5.07,0.73
"ENSMUSG00000082576",0,0,5,1,0,0
"ENSMUSG00000082577",0,0,0,0,0,0
"ENSMUSG00000082578",0,0,0,0,0,0
"ENSMUSG00000082579",6,3,2,3,2,2
"ENSMUSG00000082580",0,0,0,0,0,0
"ENSMUSG00000082581",0,0,0,0,0,0
"ENSMUSG00000082583",0,0,0,0,0,0
"ENSMUSG00000082584",0,0,0,0,0,0
"ENSMUSG00000082585",352.36,385.06,385.3,980.05,774.71,801.92
"ENSMUSG00000082586",0,0,0,0,0,0
"ENSMUSG00000082587",1,0,0,1,1,1
"ENSMUSG00000082588",6.15,1,4.98,33.41,27.46,40.46
"ENSMUSG00000082589",0,0,0,0,0,0
"ENSMUSG00000082590",0,0,0,0,0,0
"ENSMUSG00000082591",0,0,0,0,0,0
"ENSMUSG00000082592",0,0,0,0,0,0
"ENSMUSG00000082593",15.51,17.92,7.34,27.21,43.61,37.68
"ENSMUSG00000082594",0,0,0,0,0,0
"ENSMUSG00000082595",0,0,0,0,0,0
"ENSMUSG00000082596",1,0,0,1,2,4
"ENSMUSG00000082597",0,0,0,0,0,0
"ENSMUSG00000082598",0,0,0,0,0,0
"ENSMUSG00000082599",0,0,0.74,1,0,1
"ENSMUSG00000082600",0,0,0,0,0,0
"ENSMUSG00000082601",0,0,0,0,0,0
"ENSMUSG00000082602",0,0,0,0,0,0
"ENSMUSG00000082604",0,2.7,1.79,0,2.97,0
"ENSMUSG00000082605",0,0,0,0,0,0
"ENSMUSG00000082606",0,0,0,0,0,0
"ENSMUSG00000082607",0,0,0,0,0,0
"ENSMUSG00000082608",0,0,0,0,0,0
"ENSMUSG00000082609",0,0,0,0.74,0,0
"ENSMUSG00000082610",0,0,0,0,0,0
"ENSMUSG00000082611",0,0,0,0,0,0
"ENSMUSG00000082612",0,0,0,0,0,0
"ENSMUSG00000082613",0,0,0,0,0,0
"ENSMUSG00000082614",0,0,0,0,0,0
"ENSMUSG00000082615",0,0,0,0,0,0
"ENSMUSG00000082616",0,0,0,0,0,0
"ENSMUSG00000082617",0,0,0,0,0,0
"ENSMUSG00000082618",0,0,0,0,0,0
"ENSMUSG00000082619",0,0,0,0,0,0
"ENSMUSG00000082620",0,0,0,0,0,0
"ENSMUSG00000082621",5,2,3,1,3,1
"ENSMUSG00000082622",0,0,0,0,0,0
"ENSMUSG00000082623",0,0,0,0,0,0
"ENSMUSG00000082624",0,1,0,0,1,0
"ENSMUSG00000082625",0,0,0,0,0,0
"ENSMUSG00000082626",1.26,2.38,0,0,0,0
"ENSMUSG00000082628",0,0,0,0,0,0
"ENSMUSG00000082629",0,0,0,0,0,0
"ENSMUSG00000082630",5,8,8,2,8,11
"ENSMUSG00000082632",1,0,2,1,1,0
"ENSMUSG00000082633",0,0,0,0,0,0
"ENSMUSG00000082634",0,0,0,1,0,0
"ENSMUSG00000082635",0,0,0,0,0,0
"ENSMUSG00000082636",0,0,0,0,0,0
"ENSMUSG00000082637",0,0,0,0,0,0
"ENSMUSG00000082638",0,0,0,0,0,0
"ENSMUSG00000082639",0,0,0,0,0,0
"ENSMUSG00000082641",0,0,0,0,0,0
"ENSMUSG00000082644",0,0,0,0,0,0
"ENSMUSG00000082645",0,1,1.08,2.27,4.32,2
"ENSMUSG00000082646",0,0,0,0,0,0
"ENSMUSG00000082647",0,0,0,3,1,4
"ENSMUSG00000082648",0,0,0,0,0,0
"ENSMUSG00000082649",1,0,0,1,0,0
"ENSMUSG00000082650",0,0,0,0,0,0
"ENSMUSG00000082651",0,0,0,0,0,0
"ENSMUSG00000082652",0,0,0,0,0,0
"ENSMUSG00000082653",1,0,0,0,0,1
"ENSMUSG00000082655",0,0,0,0,0,0
"ENSMUSG00000082656",0,0,0,0,0,0
"ENSMUSG00000082657",0,0,0,0,0,0
"ENSMUSG00000082658",0,0,0,0,0,1
"ENSMUSG00000082660",0,0,0,0,0,0
"ENSMUSG00000082661",0,0,0,0,0,0
"ENSMUSG00000082662",0,0,0,0,0,0
"ENSMUSG00000082663",0,0,0,0,0,0
"ENSMUSG00000082664",0,0,0,0,0,0
"ENSMUSG00000082665",1,1,4,4,0,1
"ENSMUSG00000082666",0,0,1.07,0,0,0
"ENSMUSG00000082667",0,0,0,0,0,0
"ENSMUSG00000082669",0,0,0,0,0,0
"ENSMUSG00000082670",0,0,0,0,0,0
"ENSMUSG00000082671",2,0,0,0,0,0
"ENSMUSG00000082672",0,0,0,0,0,0
"ENSMUSG00000082673",0,0,0,0,0,0
"ENSMUSG00000082674",0,0,0,0,0,0
"ENSMUSG00000082675",0,0,1,0,0,0
"ENSMUSG00000082676",0,0,0,0,0,0
"ENSMUSG00000082677",0,0,0,0,0,0
"ENSMUSG00000082678",0,0,0,0,0,0
"ENSMUSG00000082679",0,0,0,0,0,0
"ENSMUSG00000082680",0,0,0,0,0,0
"ENSMUSG00000082681",0,0,0,0,0,0
"ENSMUSG00000082682",0,0,0,0,0,0
"ENSMUSG00000082683",0,0,0,0,0,0
"ENSMUSG00000082684",0,0,1,0,0,0
"ENSMUSG00000082686",1,0,0,0,1,0
"ENSMUSG00000082687",1,1,0,1,1,0
"ENSMUSG00000082688",1,1,3.55,2,1,0
"ENSMUSG00000082689",0,0,0,0,0,0
"ENSMUSG00000082690",0,0,0,0,0,0
"ENSMUSG00000082691",27.97,53.87,109.17,142.39,119.43,105.59
"ENSMUSG00000082692",0,0,0,0,0,0
"ENSMUSG00000082693",0,0,0,0,0,0
"ENSMUSG00000082696",0,0,0,0,0,0
"ENSMUSG00000082698",0,0,0,0,0,0
"ENSMUSG00000082699",0,0,0,0,0,0
"ENSMUSG00000082700",0,0,0,0,0,0
"ENSMUSG00000082701",0,0,0,0,0,0
"ENSMUSG00000082703",0,0,0,0,0,0
"ENSMUSG00000082704",0,0,0,0,0,0
"ENSMUSG00000082705",0,0,0,0,0,0
"ENSMUSG00000082706",0,0,0,0,0,0
"ENSMUSG00000082707",0,0,0,0,0,0
"ENSMUSG00000082708",0,1,0,0,2,0
"ENSMUSG00000082709",0,0,0,0,0,0
"ENSMUSG00000082710",0,0,0,0,0,0
"ENSMUSG00000082711",1,2,1,2,4,0
"ENSMUSG00000082712",0,0,0,0,0,0
"ENSMUSG00000082713",0,0,0,0,0,0
"ENSMUSG00000082714",0,0,0,0,0,0
"ENSMUSG00000082715",0,0,0,0,0,1
"ENSMUSG00000082716",0,0,0,0,0,0
"ENSMUSG00000082717",0,0,0,0,0,0
"ENSMUSG00000082718",0,0,1.13,0,0,0
"ENSMUSG00000082720",0,0,0,0,0,0
"ENSMUSG00000082721",0,0,0,0,0,0
"ENSMUSG00000082722",0,0,0,0,0,0
"ENSMUSG00000082723",0,0,0,0,0,0
"ENSMUSG00000082724",0.14,3.62,4.17,10.43,4.53,9.36
"ENSMUSG00000082725",0,0,0,0,0,0
"ENSMUSG00000082726",0,0,0,0,0,0
"ENSMUSG00000082727",0,0,0,0,0,0
"ENSMUSG00000082728",0,0,0,0,0,0
"ENSMUSG00000082729",0,0,0,1.18,0,0
"ENSMUSG00000082730",0,0,0,0,0,0
"ENSMUSG00000082732",0,0,0,0,0,0
"ENSMUSG00000082733",0,0,0,0,0,0
"ENSMUSG00000082734",0,0,0,0,0,0
"ENSMUSG00000082735",0,0,0,0,0,0
"ENSMUSG00000082736",0,0,0,0,0,0
"ENSMUSG00000082737",0,0,0,0,0,0
"ENSMUSG00000082738",0,0,0,0,0,0
"ENSMUSG00000082739",0,0,0,0,0,0
"ENSMUSG00000082740",0,1,0,0,0,0
"ENSMUSG00000082741",6.07,6.07,3.19,3.04,4.23,5.04
"ENSMUSG00000082743",0,0,0,0,0,0
"ENSMUSG00000082744",0,0,1,4,0,0
"ENSMUSG00000082745",0,0,0,0,0,0
"ENSMUSG00000082746",0,0.55,0,0,1,0
"ENSMUSG00000082749",3,4,0,0,1,1
"ENSMUSG00000082750",0,0,0,0,0,0
"ENSMUSG00000082751",0,0,0,0,0,0
"ENSMUSG00000082752",0,0,0,0,0,0
"ENSMUSG00000082754",0,0,0,0,0,0
"ENSMUSG00000082755",1,3,0,0,2.96,0
"ENSMUSG00000082757",0,0,0,0,0,0
"ENSMUSG00000082758",0,0,0,0,0,0
"ENSMUSG00000082759",0,0,0,0,0,0
"ENSMUSG00000082760",0,0,0,0,0,0
"ENSMUSG00000082762",16.54,12.03,28.5,6.61,7.98,6.06
"ENSMUSG00000082763",0,0,0,0,0,0
"ENSMUSG00000082765",4,0,1.53,3,6.01,6.03
"ENSMUSG00000082766",0,0,0,0,0,0
"ENSMUSG00000082767",0,0,0,0,0,0
"ENSMUSG00000082768",0,0,0,0,0,0
"ENSMUSG00000082769",3.07,1.46,1.68,1.74,0,0
"ENSMUSG00000082770",0,0,0,0,0,0
"ENSMUSG00000082771",0,0,0,0,0,0
"ENSMUSG00000082772",0,0,0,0,0,0
"ENSMUSG00000082773",0,0,0,0,0,0
"ENSMUSG00000082774",0,0,1,0,0,0
"ENSMUSG00000082775",0,0,0,0,0,0
"ENSMUSG00000082776",6,5,2,6,9,7
"ENSMUSG00000082777",0,0,0,0,0,0
"ENSMUSG00000082778",61.84,64.19,68.44,34.34,37.23,21.17
"ENSMUSG00000082779",0,0,0,0,0,0
"ENSMUSG00000082780",0,0,0,0,0,0
"ENSMUSG00000082781",0,0,0,0,0,0
"ENSMUSG00000082782",1,0,0,0,0,0
"ENSMUSG00000082783",0,0,0,0,0,0
"ENSMUSG00000082784",0,0,0,0,0,0
"ENSMUSG00000082785",0,0,0,0,0,0
"ENSMUSG00000082786",0,0,0,0,0,0
"ENSMUSG00000082788",0,0,0,0,0,0
"ENSMUSG00000082789",0,0,0,0,0,0
"ENSMUSG00000082790",0,0,0,0,0,0
"ENSMUSG00000082791",50.5,41.68,53,47.54,34.54,23.46
"ENSMUSG00000082792",2,2.96,1.1,0,0.93,0
"ENSMUSG00000082793",0,1,0,0,0,0
"ENSMUSG00000082794",0,0,0,2,0,0
"ENSMUSG00000082795",0,0,0,0,0,0
"ENSMUSG00000082796",0,0,0,0,0,0
"ENSMUSG00000082797",0,0,0,0,0,0
"ENSMUSG00000082798",0,0,0,0,0,0
"ENSMUSG00000082799",0,0,0,0,0,0
"ENSMUSG00000082800",0,0,0,0,0,0
"ENSMUSG00000082802",0,0,0,0,0,0
"ENSMUSG00000082804",1,1,1,2,3,0
"ENSMUSG00000082806",5,4,2,2,3,3
"ENSMUSG00000082807",0,0,0,0,0,0
"ENSMUSG00000082809",9.7,6.5,9.74,9.79,12.63,6.66
"ENSMUSG00000082810",0,1,1,0,0,0
"ENSMUSG00000082812",0,0,0,0,0,0
"ENSMUSG00000082814",0,0,0,0,0,0
"ENSMUSG00000082815",0,0,0,0,1,0
"ENSMUSG00000082816",5.05,5.51,12.29,0,4.86,1.01
"ENSMUSG00000082817",0,0,0,0,0,0
"ENSMUSG00000082818",0,0,0,0,0,0
"ENSMUSG00000082819",0,0,0,0,0,0
"ENSMUSG00000082820",0,0,0,0,0,0
"ENSMUSG00000082821",0,0,0,0,0,0
"ENSMUSG00000082822",0,0,0,0,0,0
"ENSMUSG00000082823",0,0,0,0,0,0
"ENSMUSG00000082824",0,0,0,0,0,0
"ENSMUSG00000082825",0,0,0,0,0,0
"ENSMUSG00000082826",0,0,0,1,0,0
"ENSMUSG00000082827",0,0,0,0,0,0
"ENSMUSG00000082828",1,0,0,0,0,0
"ENSMUSG00000082829",0,0,0,0,0,0
"ENSMUSG00000082831",0,0,0,0,0,0
"ENSMUSG00000082832",0,0,0,0,0,0
"ENSMUSG00000082833",0,0,0,0,0,0
"ENSMUSG00000082835",0,0,0,0,0,0
"ENSMUSG00000082836",0,0,0,0,0,0
"ENSMUSG00000082837",0,0,0,0,0,0
"ENSMUSG00000082838",0,0,0,0,0,0
"ENSMUSG00000082839",0,0,0,0,0,0
"ENSMUSG00000082840",0,0,0,0,0,0
"ENSMUSG00000082841",0,0,0,0,0,0
"ENSMUSG00000082842",0,0,0,0,0,0
"ENSMUSG00000082843",0,0,0,0,0,0
"ENSMUSG00000082844",0,0,0,0,0,0
"ENSMUSG00000082845",0,0,0,0,0,0
"ENSMUSG00000082846",0,0,0,0,0,0
"ENSMUSG00000082847",0,0,0,0,0,0
"ENSMUSG00000082849",0,1,1,0,0,0
"ENSMUSG00000082850",0,0,0,0,0,0
"ENSMUSG00000082851",1,1,0,3,0,2
"ENSMUSG00000082852",0,0,0,0,0,0
"ENSMUSG00000082853",0,0,0,0,0,0
"ENSMUSG00000082855",0,0,0,0,1,1
"ENSMUSG00000082856",0,0,0,0,0,0
"ENSMUSG00000082857",0,0,0,0,0,0
"ENSMUSG00000082858",0,0,0,0,0,0
"ENSMUSG00000082859",0,0,0,0,0,0
"ENSMUSG00000082860",1,4,1,8,6,10
"ENSMUSG00000082861",0,0,0,0,0,0
"ENSMUSG00000082862",0,0,0,0,0,0
"ENSMUSG00000082863",0,0,0,0,0,0
"ENSMUSG00000082864",0,0,0,0,0,0
"ENSMUSG00000082865",0,0,0,0,0,0
"ENSMUSG00000082867",0,1,0,1,0,0
"ENSMUSG00000082868",0,0,0,0,0,0
"ENSMUSG00000082869",0,0,0,0,0,0
"ENSMUSG00000082870",0,0,0,0,0,0
"ENSMUSG00000082871",0,0,0,0,0,0
"ENSMUSG00000082872",0,0,0,0,0,0
"ENSMUSG00000082873",0,0,0,0,0,0
"ENSMUSG00000082874",0,0,1,0,2,0
"ENSMUSG00000082875",0,0,0,0,0,0
"ENSMUSG00000082876",0,0,0,0,0,0
"ENSMUSG00000082877",0,0,0,0,0,0
"ENSMUSG00000082878",4,1,6,8,3.15,3
"ENSMUSG00000082879",0,0,0,0,0,0
"ENSMUSG00000082882",0,0,0,0,0,0
"ENSMUSG00000082884",0,0,0,0,0,0
"ENSMUSG00000082886",0,0,0,0,0,0
"ENSMUSG00000082887",0,0,0,0,0,0
"ENSMUSG00000082888",0,0,0,0,1,0
"ENSMUSG00000082889",0,0,0,0,0,0
"ENSMUSG00000082890",0,0,0,0,0,0
"ENSMUSG00000082891",0,0,0,0,0,0
"ENSMUSG00000082892",0,0,0,0,0,0
"ENSMUSG00000082893",0,0,0,1,0,0
"ENSMUSG00000082894",26.77,17.96,13.3,66.83,77.63,95.32
"ENSMUSG00000082895",20.28,30.52,20.96,14.69,22.49,13.55
"ENSMUSG00000082896",0,0.47,0,0,4.5,2.27
"ENSMUSG00000082897",0,0,0,0,0,0
"ENSMUSG00000082898",0,0,0,0,0,0
"ENSMUSG00000082899",0,0,0,0,0,0
"ENSMUSG00000082900",1,1,0.96,2,11.72,7
"ENSMUSG00000082901",0,0,0,0,0,0
"ENSMUSG00000082902",0,0,0,0,0,0
"ENSMUSG00000082903",0,0,0,0,0,0
"ENSMUSG00000082905",0,0,0,1,0,1
"ENSMUSG00000082906",0,0,0,0,0,0
"ENSMUSG00000082907",0,0,0,0,0,0
"ENSMUSG00000082908",67.36,109.79,83.02,173.9,90.71,84.69
"ENSMUSG00000082910",0,0,0,0,0,0
"ENSMUSG00000082911",0,0,0,0,0,0
"ENSMUSG00000082912",0,0,0,0,0,0
"ENSMUSG00000082913",0,0,0,0,0,0
"ENSMUSG00000082915",0,0,0,0,0,0
"ENSMUSG00000082917",0,0,0,2,2,0
"ENSMUSG00000082918",0,0,0,0,0,0
"ENSMUSG00000082919",0,0,0,0,0,0
"ENSMUSG00000082920",0,1.18,2.23,2.1,5.41,2.12
"ENSMUSG00000082922",0,1,0,0,0,0
"ENSMUSG00000082924",0,0,2,0,0,0
"ENSMUSG00000082925",2.32,1.22,1.21,1.26,1.22,0
"ENSMUSG00000082926",0,0,1.27,0,1.37,0
"ENSMUSG00000082927",1,2,2,1,0,0
"ENSMUSG00000082928",0,0,0,0,0,0
"ENSMUSG00000082929",0,0,0,0,0,0
"ENSMUSG00000082930",0,0,0,0,0,0
"ENSMUSG00000082931",1.5,2.26,6.37,3.14,1.12,2
"ENSMUSG00000082932",0,0,0,0,0,0
"ENSMUSG00000082933",0,0,0,0,0,0
"ENSMUSG00000082934",0,0,0,0,1,0
"ENSMUSG00000082935",128.05,126.27,110.3,192.21,127.9,92.67
"ENSMUSG00000082936",0,0,2,1,0,2
"ENSMUSG00000082937",0,0,0,0,0,0
"ENSMUSG00000082938",0,0,0,0,0,0
"ENSMUSG00000082939",0,0,0,0,0,0
"ENSMUSG00000082940",0,0,0,0,0,0
"ENSMUSG00000082941",0,1,0,1,0,1
"ENSMUSG00000082943",0,0,0,0,0,0
"ENSMUSG00000082945",0,0,0,0,0,0
"ENSMUSG00000082947",0,0,0,1,1,1.14
"ENSMUSG00000082949",0,0,0,0,0,0
"ENSMUSG00000082950",0,0,0,0,0,0
"ENSMUSG00000082951",0,0,0,0,0,0
"ENSMUSG00000082952",0,0,0,0,0,0
"ENSMUSG00000082953",8.69,3.07,6.37,6.11,8.11,11.93
"ENSMUSG00000082954",0,0,0,0,0,0
"ENSMUSG00000082955",0,0,0,0,0,0
"ENSMUSG00000082956",0,0,0,2.04,0,2.25
"ENSMUSG00000082957",0,0,0,0,0,0
"ENSMUSG00000082958",0,0,0,0,0,0
"ENSMUSG00000082960",0,0,0,0,0,0
"ENSMUSG00000082961",0,0,1,1,0,0
"ENSMUSG00000082962",0,1,0,0,3.11,2.7
"ENSMUSG00000082963",0,0,0,0,0,0
"ENSMUSG00000082964",1,0,1,0,1,1
"ENSMUSG00000082965",0,0,0,0,0,0
"ENSMUSG00000082966",0,0,0,0,0,0
"ENSMUSG00000082967",0,0,0,0,0,0
"ENSMUSG00000082968",0,0,0,0,0,0
"ENSMUSG00000082969",0,0,0,0,0,0
"ENSMUSG00000082970",0,0,0,0,0,0
"ENSMUSG00000082971",0,0,0,0,0,1
"ENSMUSG00000082973",0,0,0,0,0,0
"ENSMUSG00000082974",0,0,0,0,0,0
"ENSMUSG00000082975",0,0,0,0,0,0
"ENSMUSG00000082976",0,0,0,0,0,0
"ENSMUSG00000082977",0,0,0,0,0,0
"ENSMUSG00000082978",2,10,6.17,3,1,1
"ENSMUSG00000082980",0,0,0,0,0,0
"ENSMUSG00000082981",0,0,0,0,0,0
"ENSMUSG00000082982",0,0,0,0,0,0
"ENSMUSG00000082983",0,0,0,0,0,0
"ENSMUSG00000082985",0,1,0,0,2,0
"ENSMUSG00000082986",0,0,0,0,0,0
"ENSMUSG00000082987",0,0,0,0,0,0
"ENSMUSG00000082988",0,0,0,0.4,0,0
"ENSMUSG00000082989",0,0,0,0,0,0
"ENSMUSG00000082990",0,0,2,1,3,3
"ENSMUSG00000082991",0,0,0,0,0,0
"ENSMUSG00000082993",0,0,0,0,0,0
"ENSMUSG00000082994",0,0,0,0,0,1
"ENSMUSG00000082995",0,0,0,0,0,0
"ENSMUSG00000082996",0,0,0,0,0,0
"ENSMUSG00000082997",0,0,0,0,0,0
"ENSMUSG00000082998",0,0,0,0,0,0
"ENSMUSG00000083000",0,0,0,0,0,0
"ENSMUSG00000083001",0,0,0,0,0,0
"ENSMUSG00000083004",4.39,1.98,1.04,3.36,3.68,0
"ENSMUSG00000083005",0,0,0,0,0,0
"ENSMUSG00000083006",0,0,1,0,2,0
"ENSMUSG00000083007",1.09,0,1,1,1,0
"ENSMUSG00000083008",0,0,0,0,0,0
"ENSMUSG00000083009",0,0,0,0,0,0
"ENSMUSG00000083010",0,0,0,0,0,0
"ENSMUSG00000083011",1.06,3.23,4.38,1.07,1.08,0
"ENSMUSG00000083012",658,760,633,854,737,766
"ENSMUSG00000083013",0,0,0,2.12,0,0
"ENSMUSG00000083014",1,0,0,0,0,0
"ENSMUSG00000083015",0,0,0,0,0,0
"ENSMUSG00000083016",0,1,0,3,0,0
"ENSMUSG00000083017",0,0,0,0,0,0
"ENSMUSG00000083018",0,0,0,0,0,0
"ENSMUSG00000083019",0,0,0,0,0,0
"ENSMUSG00000083020",0,0,0,0,0,0
"ENSMUSG00000083022",0,1.33,2.2,0,3.43,3.35
"ENSMUSG00000083023",0,0,0,0,0,0
"ENSMUSG00000083024",0,0,0,0,0,0
"ENSMUSG00000083025",0,0,0,0,0,1
"ENSMUSG00000083026",0,0,0,0,0,0
"ENSMUSG00000083027",0,1.01,0,0,1.01,0
"ENSMUSG00000083029",0,0,0,0,0,0
"ENSMUSG00000083030",0,0,0,0,0,0
"ENSMUSG00000083031",0,0,0,0,0,0
"ENSMUSG00000083032",0,0,1,0,1,0
"ENSMUSG00000083033",0.89,0,0,1.04,2.97,1
"ENSMUSG00000083034",0,0,0,0,0,0
"ENSMUSG00000083036",0,0,0,0,0,0
